epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.001,0,25.0026,0,0,0,0,0,0,103.908,0,0.000654088,0.000654088,0.000654088
2,426.495,0,18.0769,0,0,0,0,0,0,160.623,0,0.00105925,0.00105925,0.00105925
3,534.469,0,15.4307,0,0,0,0,0,0,38.5124,0,0.0012004,0.0012004,0.0012004
4,617.675,0,13.9088,0,0,0,0,0,0,56.2689,0,0.000812,0.000812,0.000812
5,698.96,0,12.9827,0,0,0,0,0,0,24.4764,0,0.000416,0.000416,0.000416
